title,performer,peak_pos,wks_on_chart,first_charting_year,original_performer,performer_normalized,original_performer_normalized
The Last Time (Taylor's Version),Gary Lightbody Of Snow Patrol,66,1,2021,Taylor Swift Featuring Gary Lightbody Of Snow Patrol,gary lightbody of snow patrol,
4 Da Gang,42 Dugg,67,14,2021,42 Dugg & Roddy Ricch,42 dugg,
4 Da Gang,Roddy Ricch,67,14,2021,42 Dugg & Roddy Ricch,roddy ricch,
Betrayal,Trippie Redd,67,1,2021,Trippie Redd Featuring Drake,trippie redd,
Betrayal,Drake,67,1,2021,Trippie Redd Featuring Drake,drake,
Girl Like Me,Black Eyed Peas,67,13,2021,Black Eyed Peas X Shakira,black eyed peas,
Girl Like Me,Shakira,67,13,2021,Black Eyed Peas X Shakira,shakira,
His & Hers,"Internet Money, Don Toliver & Lil Uzi Vert",67,1,2021,"Internet Money, Don Toliver & Lil Uzi Vert Featuring Gunna",internet money,"internet money, don toliver & lil uzi vert"
His & Hers,"Internet Money, Don Toliver & Lil Uzi Vert",67,1,2021,"Internet Money, Don Toliver & Lil Uzi Vert Featuring Gunna",don toliver,"internet money, don toliver & lil uzi vert"
His & Hers,"Internet Money, Don Toliver & Lil Uzi Vert",67,1,2021,"Internet Money, Don Toliver & Lil Uzi Vert Featuring Gunna",lil uzi vert,"internet money, don toliver & lil uzi vert"
His & Hers,Gunna,67,1,2021,"Internet Money, Don Toliver & Lil Uzi Vert Featuring Gunna",gunna,
Hit Bout It,Lil Yachty,67,1,2021,Lil Yachty Featuring Kodak Black,lil yachty,
Hit Bout It,Kodak Black,67,1,2021,Lil Yachty Featuring Kodak Black,kodak black,
Medical,Lil Baby,67,1,2021,Lil Baby & Lil Durk,lil baby,
Medical,Lil Durk,67,1,2021,Lil Baby & Lil Durk,lil durk,
Minimum Wage,Blake Shelton,67,12,2021,,blake shelton,
Ramen & OJ,Joyner Lucas,67,2,2021,Joyner Lucas & Lil Baby,joyner lucas,
Ramen & OJ,Lil Baby,67,2,2021,Joyner Lucas & Lil Baby,lil baby,
SUVs (Black On Black),Jack Harlow,67,2,2021,Jack Harlow & Pooh Shiesty,jack harlow,
SUVs (Black On Black),Pooh Shiesty,67,2,2021,Jack Harlow & Pooh Shiesty,pooh shiesty,
Sincerely,YoungBoy Never Broke Again,67,1,2021,,youngboy never broke again,
Stay Stay Stay (Taylor's Version),Taylor Swift,67,1,2021,,taylor swift,
WFM,RealestK,67,4,2021,,realestk,
WFM,Realestk,67,3,2021,,realestk,
2 Much,Justin Bieber,68,1,2021,,justin bieber,
After Last Night,Silk Sonic (Bruno Mars & Anderson .Paak),68,1,2021,Silk Sonic (Bruno Mars & Anderson .Paak) With Thundercat & Bootsy Collins,silk sonic (bruno mars,silk sonic (bruno mars & anderson .paak)
After Last Night,Silk Sonic (Bruno Mars & Anderson .Paak),68,1,2021,Silk Sonic (Bruno Mars & Anderson .Paak) With Thundercat & Bootsy Collins,anderson .paak),silk sonic (bruno mars & anderson .paak)
After Last Night,Thundercat & Bootsy Collins,68,1,2021,Silk Sonic (Bruno Mars & Anderson .Paak) With Thundercat & Bootsy Collins,thundercat & bootsy collins,
Follow You,Imagine Dragons,68,15,2021,,imagine dragons,
Livin It Up,Young Thug,68,1,2021,Young Thug With Post Malone & A$AP Rocky,young thug,
Livin It Up,Post Malone & A$AP Rocky,68,1,2021,Young Thug With Post Malone & A$AP Rocky,post malone,post malone & a$ap rocky
Livin It Up,Post Malone & A$AP Rocky,68,1,2021,Young Thug With Post Malone & A$AP Rocky,a$ap rocky,post malone & a$ap rocky
Maybach,42 Dugg,68,9,2021,42 Dugg Featuring Future,42 dugg,
Maybach,Future,68,9,2021,42 Dugg Featuring Future,future,
New Again,Kanye West,68,1,2021,,kanye west,
Rich Off Pain,Lil Baby,68,1,2021,"Lil Baby, Lil Durk & Rod Wave",lil baby,
Rich Off Pain,Lil Durk,68,1,2021,"Lil Baby, Lil Durk & Rod Wave",lil durk,
Rich Off Pain,Rod Wave,68,1,2021,"Lil Baby, Lil Durk & Rod Wave",rod wave,
RunItUp,"Tyler, The Creator",68,1,2021,"Tyler, The Creator Featuring Teezo Touchdown","tyler, the creator",
RunItUp,Teezo Touchdown,68,1,2021,"Tyler, The Creator Featuring Teezo Touchdown",teezo touchdown,
Session 33,Summer Walker,68,1,2021,,summer walker,
Babe (Taylor's Version) (From The Vault),Taylor Swift,69,1,2021,,taylor swift,
Big Purr (Prrdd),Coi Leray,69,3,2021,Coi Leray & Pooh Shiesty,coi leray,
Big Purr (Prrdd),Pooh Shiesty,69,3,2021,Coi Leray & Pooh Shiesty,pooh shiesty,
Don't Go,Skrillex,69,1,2021,"Skrillex, Justin Bieber & Don Toliver",skrillex,
Don't Go,Justin Bieber,69,1,2021,"Skrillex, Justin Bieber & Don Toliver",justin bieber,
Don't Go,Don Toliver,69,1,2021,"Skrillex, Justin Bieber & Don Toliver",don toliver,
Getting Older,Billie Eilish,69,1,2021,,billie eilish,
Hellcats & Trackhawks,Lil Durk,69,9,2021,,lil durk,
I Can't Take It Back,YoungBoy Never Broke Again,69,1,2021,,youngboy never broke again,
Jugaste y Sufri,Eslabon Armado,69,7,2021,Eslabon Armado Featuring DannyLux,eslabon armado,
Jugaste y Sufri,DannyLux,69,7,2021,Eslabon Armado Featuring DannyLux,dannylux,
On My Soul,Meek Mill,69,1,2021,,meek mill,
Stressed,Young Thug,69,1,2021,Young Thug With J. Cole & T-Shyne,young thug,
Stressed,J. Cole & T-Shyne,69,1,2021,Young Thug With J. Cole & T-Shyne,j. cole & t-shyne,
Switches & Dracs,Moneybagg Yo,69,2,2021,Moneybagg Yo Featuring Lil Durk & EST Gee,moneybagg yo,
Switches & Dracs,Lil Durk & EST Gee,69,2,2021,Moneybagg Yo Featuring Lil Durk & EST Gee,lil durk,lil durk & est gee
Switches & Dracs,Lil Durk & EST Gee,69,2,2021,Moneybagg Yo Featuring Lil Durk & EST Gee,est gee,lil durk & est gee
The Business,Tiesto,69,14,2021,,tiesto,
Billie Bossa Nova,Billie Eilish,70,1,2021,,billie eilish,
Lord I Need You,Kanye West,70,1,2021,,kanye west,
Lying,Lil Baby,70,1,2021,Lil Baby & Lil Durk,lil baby,
Lying,Lil Durk,70,1,2021,Lil Baby & Lil Durk,lil durk,
On The Ground,ROSE,70,1,2021,,rose,
All I Got,Rod Wave,71,1,2021,,rod wave,
Fearless (Taylor's Version),Taylor Swift,71,1,2021,,taylor swift,
Gravity,Brent Faiyaz & DJ Dahi,71,2,2021,"Brent Faiyaz & DJ Dahi Featuring Tyler, The Creator",brent faiyaz & dj dahi,
Gravity,"Tyler, The Creator",71,2,2021,"Brent Faiyaz & DJ Dahi Featuring Tyler, The Creator","tyler, the creator",
I'll Be Home For Christmas,Camila Cabello,71,4,2021,,camila cabello,
Life Goes On,Oliver Tree,71,5,2021,,oliver tree,
Lifestyle,Jason Derulo,71,5,2021,Jason Derulo Featuring Adam Levine,jason derulo,
Lifestyle,Adam Levine,71,5,2021,Jason Derulo Featuring Adam Levine,adam levine,
Mr. Jones,Pop Smoke,71,1,2021,Pop Smoke Featuring Future,pop smoke,
Mr. Jones,Future,71,1,2021,Pop Smoke Featuring Future,future,
Redman,Lil Durk,71,1,2021,,lil durk,
Snowflakes,Tom MacDonald,71,1,2021,,tom macdonald,
Type Shit,Migos,71,1,2021,Migos & Cardi B,migos,
Type Shit,Cardi B,71,1,2021,Migos & Cardi B,cardi b,
Blue Note$ II,Meek Mill,72,2,2021,Meek Mill Featuring Lil Uzi Vert,meek mill,
Blue Note$ II,Lil Uzi Vert,72,2,2021,Meek Mill Featuring Lil Uzi Vert,lil uzi vert,
Dead Right Now,Lil Nas X,72,1,2021,,lil nas x,
Oxytocin,Billie Eilish,72,1,2021,,billie eilish,
Slay3r,Playboi Carti,72,1,2021,,playboi carti,
Blast Off,Silk Sonic (Bruno Mars,73,1,2021,Silk Sonic (Bruno Mars & Anderson .Paak),silk sonic (bruno mars,
Blast Off,Anderson .Paak),73,1,2021,Silk Sonic (Bruno Mars & Anderson .Paak),anderson .paak),
God's Country,State Of Mine,73,1,2021,State Of Mine & Drew Jacobs,state of mine,
God's Country,Drew Jacobs,73,1,2021,State Of Mine & Drew Jacobs,drew jacobs,
Poke It Out,Wale,73,8,2021,Wale Featuring J. Cole,wale,
Poke It Out,J. Cole,73,8,2021,Wale Featuring J. Cole,j. cole,
Renegade,Big Red Machine,73,1,2021,Big Red Machine Featuring Taylor Swift,big red machine,
Renegade,Taylor Swift,73,1,2021,Big Red Machine Featuring Taylor Swift,taylor swift,
Screwin,Summer Walker,73,1,2021,Summer Walker & Omarion,summer walker,
Screwin,Omarion,73,1,2021,Summer Walker & Omarion,omarion,
That's Facts,Lil Baby,73,1,2021,Lil Baby & Lil Durk,lil baby,
That's Facts,Lil Durk,73,1,2021,Lil Baby & Lil Durk,lil durk,
Adderall (Corvette Corvette),Popp Hunna,74,6,2021,,popp hunna,
All I Know So Far,P!nk,74,5,2021,,p!nk,
Baila Conmigo,Selena Gomez,74,2,2021,Selena Gomez With Rauw Alejandro,selena gomez,
Baila Conmigo,Rauw Alejandro,74,2,2021,Selena Gomez With Rauw Alejandro,rauw alejandro,
Only Wanna Be With You,Post Malone,74,1,2021,,post malone,
Doom,Juice WRLD,75,1,2021,,juice wrld,
Pick Up Your Feelings,Jazmine Sullivan,75,20,2021,,jazmine sullivan,
Visiting Hours,Ed Sheeran,75,1,2021,,ed sheeran,
You Belong With Me (Taylor's Version),Taylor Swift,75,1,2021,,taylor swift,
Broken Promises,Summer Walker,76,1,2021,,summer walker,
Deserve You,Justin Bieber,76,1,2021,,justin bieber,
Go Hard,Juice WRLD,76,1,2021,,juice wrld,
Holy Ground (Taylor's Version),Taylor Swift,76,1,2021,,taylor swift,
Outside (100 MPH),Meek Mill,76,1,2021,,meek mill,
Undivided,Tim McGraw,76,2,2021,Tim McGraw & Tyler Hubbard,tim mcgraw,
Undivided,Tyler Hubbard,76,2,2021,Tim McGraw & Tyler Hubbard,tyler hubbard,
transparentsoul,Willow,76,6,2021,Willow Featuring Travis Barker,willow,
transparentsoul,Travis Barker,76,6,2021,Willow Featuring Travis Barker,travis barker,
Begin Again (Taylor's Version),Taylor Swift,77,1,2021,,taylor swift,
Come To Life,Kanye West,77,1,2021,,kanye west,
Dat Right There,Summer Walker,77,1,2021,"Summer Walker, Pharrell Williams & The Neptunes",summer walker,
Dat Right There,Pharrell Williams,77,1,2021,"Summer Walker, Pharrell Williams & The Neptunes",pharrell williams,
Dat Right There,The Neptunes,77,1,2021,"Summer Walker, Pharrell Williams & The Neptunes",the neptunes,
Paid The Fine,Young Thug & Gunna,77,1,2021,Young Thug & Gunna Featuring Lil Baby & YTB Trench,young thug,young thug & gunna
Paid The Fine,Young Thug & Gunna,77,1,2021,Young Thug & Gunna Featuring Lil Baby & YTB Trench,gunna,young thug & gunna
Paid The Fine,Lil Baby & YTB Trench,77,1,2021,Young Thug & Gunna Featuring Lil Baby & YTB Trench,lil baby & ytb trench,
Last One Standing,Skylar Grey,78,1,2021,"Skylar Grey, Polo G, Mozzy & Eminem",skylar grey,
Last One Standing,Polo G,78,1,2021,"Skylar Grey, Polo G, Mozzy & Eminem",polo g,
Last One Standing,Mozzy,78,1,2021,"Skylar Grey, Polo G, Mozzy & Eminem",mozzy,
Last One Standing,Eminem,78,1,2021,"Skylar Grey, Polo G, Mozzy & Eminem",eminem,
Mind Of Melvin,YNW Melly,78,1,2021,YNW Melly Featuring Lil Uzi Vert,ynw melly,
Mind Of Melvin,Lil Uzi Vert,78,1,2021,YNW Melly Featuring Lil Uzi Vert,lil uzi vert,
Opp Stoppa,YBN Nahmir,78,6,2021,YBN Nahmir Featuring 21 Savage,ybn nahmir,
Opp Stoppa,21 Savage,78,6,2021,YBN Nahmir Featuring 21 Savage,21 savage,
Put On A Smile,Silk Sonic (Bruno Mars,78,1,2021,Silk Sonic (Bruno Mars & Anderson .Paak),silk sonic (bruno mars,
Put On A Smile,Anderson .Paak),78,1,2021,Silk Sonic (Bruno Mars & Anderson .Paak),anderson .paak),
Rich N***a Shit,Young Thug,78,1,2021,Young Thug With Juice WRLD,young thug,
Rich N***a Shit,Juice WRLD,78,1,2021,Young Thug With Juice WRLD,juice wrld,
The First Noel,Gabby Barrett,78,1,2021,,gabby barrett,
The Jackie,Bas,78,1,2021,Bas With J. Cole & Lil TJay,bas,
The Jackie,J. Cole & Lil TJay,78,1,2021,Bas With J. Cole & Lil TJay,j. cole,j. cole & lil tjay
The Jackie,J. Cole & Lil TJay,78,1,2021,Bas With J. Cole & Lil TJay,lil tjay,j. cole & lil tjay
White Teeth,YoungBoy Never Broke Again,78,1,2021,,youngboy never broke again,
Body In Motion,DJ Khaled,79,1,2021,"DJ Khaled Featuring Bryson Tiller, Lil Baby & Roddy Ricch",dj khaled,
Body In Motion,"Bryson Tiller, Lil Baby & Roddy Ricch",79,1,2021,"DJ Khaled Featuring Bryson Tiller, Lil Baby & Roddy Ricch",bryson tiller,"bryson tiller, lil baby & roddy ricch"
Body In Motion,"Bryson Tiller, Lil Baby & Roddy Ricch",79,1,2021,"DJ Khaled Featuring Bryson Tiller, Lil Baby & Roddy Ricch",lil baby,"bryson tiller, lil baby & roddy ricch"
Body In Motion,"Bryson Tiller, Lil Baby & Roddy Ricch",79,1,2021,"DJ Khaled Featuring Bryson Tiller, Lil Baby & Roddy Ricch",roddy ricch,"bryson tiller, lil baby & roddy ricch"
Clueless,Polo G,79,1,2021,Polo G Featuring Pop Smoke & Fivio Foreign,polo g,
Clueless,Pop Smoke & Fivio Foreign,79,1,2021,Polo G Featuring Pop Smoke & Fivio Foreign,pop smoke,pop smoke & fivio foreign
Clueless,Pop Smoke & Fivio Foreign,79,1,2021,Polo G Featuring Pop Smoke & Fivio Foreign,fivio foreign,pop smoke & fivio foreign
EPMD 2,Nas,79,1,2021,Nas Featuring Eminem & EPMD,nas,
EPMD 2,Eminem & EPMD,79,1,2021,Nas Featuring Eminem & EPMD,eminem,eminem & epmd
EPMD 2,Eminem & EPMD,79,1,2021,Nas Featuring Eminem & EPMD,epmd,eminem & epmd
Forever Winter (Taylor's Version) (From The Vault),Taylor Swift,79,1,2021,,taylor swift,
Lost,NF,79,1,2021,NF Featuring Hopsin,nf,
Lost,Hopsin,79,1,2021,NF Featuring Hopsin,hopsin,
Papercuts,Machine Gun Kelly,79,1,2021,,machine gun kelly,
Please,Lil Baby,79,1,2021,Lil Baby & Lil Durk,lil baby,
Please,Lil Durk,79,1,2021,Lil Baby & Lil Durk,lil durk,
Forgiato,YoungBoy Never Broke Again,80,1,2021,,youngboy never broke again,
Free Promo,Moneybagg Yo,80,1,2021,Moneybagg Yo Featuring Polo G & Lil Durk,moneybagg yo,
Free Promo,Polo G & Lil Durk,80,1,2021,Moneybagg Yo Featuring Polo G & Lil Durk,polo g,polo g & lil durk
Free Promo,Polo G & Lil Durk,80,1,2021,Moneybagg Yo Featuring Polo G & Lil Durk,lil durk,polo g & lil durk
I Didn't Change My Number,Billie Eilish,80,1,2021,,billie eilish,
More Time,Pop Smoke,80,1,2021,,pop smoke,
Not Enough,Juice WRLD,80,1,2021,,juice wrld,
Repeat It,Lil Tecca,80,3,2021,Lil Tecca & Gunna,lil tecca,
Repeat It,Gunna,80,3,2021,Lil Tecca & Gunna,gunna,
Sad Girlz Luv Money,Amaarae & Moliy,80,3,2021,Amaarae & Moliy Featuring Kali Uchis,amaarae & moliy,
Sad Girlz Luv Money,Kali Uchis,80,3,2021,Amaarae & Moliy Featuring Kali Uchis,kali uchis,
Up The Side,Lil Baby,80,1,2021,"Lil Baby, Lil Durk & Young Thug",lil baby,
Up The Side,Lil Durk,80,1,2021,"Lil Baby, Lil Durk & Young Thug",lil durk,
Up The Side,Young Thug,80,1,2021,"Lil Baby, Lil Durk & Young Thug",young thug,
Big Gangsta,Kevin Gates,81,5,2021,,kevin gates,
Box Of Churches,Pooh Shiesty,81,1,2021,Pooh Shiesty Featuring 21 Savage,pooh shiesty,
Box Of Churches,21 Savage,81,1,2021,Pooh Shiesty Featuring 21 Savage,21 savage,
Cry No More,G Herbo,81,1,2021,G Herbo Featuring Polo G & Lil Tjay,g herbo,
Cry No More,Polo G & Lil Tjay,81,1,2021,G Herbo Featuring Polo G & Lil Tjay,polo g,polo g & lil tjay
Cry No More,Polo G & Lil Tjay,81,1,2021,G Herbo Featuring Polo G & Lil Tjay,lil tjay,polo g & lil tjay
Die For You,Justin Bieber,81,1,2021,Justin Bieber Featuring Dominic Fike,justin bieber,
Die For You,Dominic Fike,81,1,2021,Justin Bieber Featuring Dominic Fike,dominic fike,
Film Out,BTS,81,1,2021,,bts,
Fly As Me,Silk Sonic (Bruno Mars,81,1,2021,Silk Sonic (Bruno Mars & Anderson .Paak),silk sonic (bruno mars,
Fly As Me,Anderson .Paak),81,1,2021,Silk Sonic (Bruno Mars & Anderson .Paak),anderson .paak),
Just About Over You,Priscilla Block,81,7,2021,,priscilla block,
Moonwalking In Calabasas,DDG,81,11,2021,,ddg,
Rap Freaks,Yung Miami,81,1,2021,,yung miami,
Bandido,Myke Towers,82,7,2021,Myke Towers & Juhn,myke towers,
Bandido,Juhn,82,7,2021,Myke Towers & Juhn,juhn,
Eat It,Megan Thee Stallion,82,1,2021,,megan thee stallion,
Essence,Wizkid,82,1,2021,Wizkid Featuring Tems,wizkid,
Essence,Tems,82,1,2021,Wizkid Featuring Tems,tems,
Go2DaMoon,Playboi Carti,82,1,2021,Playboi Carti Featuring Kanye West,playboi carti,
Go2DaMoon,Kanye West,82,1,2021,Playboi Carti Featuring Kanye West,kanye west,
Itty Bitty Piggy,Nicki Minaj,82,1,2021,,nicki minaj,
Just Say Det,Moneybagg Yo,82,1,2021,,moneybagg yo,
Man In The Mirror,A Boogie Wit da Hoodie,82,1,2021,,a boogie wit da hoodie,
Manslaughter,Pop Smoke,82,1,2021,Pop Smoke Featuring Rick Ross & The-Dream,pop smoke,
Manslaughter,Rick Ross & The-Dream,82,1,2021,Pop Smoke Featuring Rick Ross & The-Dream,rick ross,rick ross & the-dream
Manslaughter,Rick Ross & The-Dream,82,1,2021,Pop Smoke Featuring Rick Ross & The-Dream,the-dream,rick ross & the-dream
What You Need,Don Toliver,82,1,2021,,don toliver,
Heart Of A Giant,Polo G,83,1,2021,Polo G Featuring Rod Wave,polo g,
Heart Of A Giant,Rod Wave,83,1,2021,Polo G Featuring Rod Wave,rod wave,
Hello,Pop Smoke,83,11,2021,Pop Smoke Featuring A Boogie Wit da Hoodie,pop smoke,
Hello,A Boogie Wit da Hoodie,83,11,2021,Pop Smoke Featuring A Boogie Wit da Hoodie,a boogie wit da hoodie,
Rich Shit,YoungBoy Never Broke Again,83,1,2021,,youngboy never broke again,
The Feels,TWICE,83,1,2021,,twice,
The Moment I Knew (Taylor's Version),Taylor Swift,83,1,2021,,taylor swift,
Whiskey'd My Way,Morgan Wallen,83,1,2021,,morgan wallen,
Big Paper,DJ Khaled,84,1,2021,DJ Khaled Featuring Cardi B,dj khaled,
Big Paper,Cardi B,84,1,2021,DJ Khaled Featuring Cardi B,cardi b,
Lalisa,Lisa,84,1,2021,,lisa,
Love You Different,Justin Bieber,84,1,2021,Justin Bieber Featuring BEAM,justin bieber,
Love You Different,BEAM,84,1,2021,Justin Bieber Featuring BEAM,beam,
Manifesto,"Tyler, The Creator",84,1,2021,"Tyler, The Creator Featuring Domo Genesis","tyler, the creator",
Manifesto,Domo Genesis,84,1,2021,"Tyler, The Creator Featuring Domo Genesis",domo genesis,
The Lucky One (Taylor's Version),Taylor Swift,84,1,2021,,taylor swift,
Your Bartender,Morgan Wallen,84,1,2021,,morgan wallen,
Durag Activity,Baby Keem,85,1,2021,Baby Keem & Travis Scott,baby keem,
Durag Activity,Travis Scott,85,1,2021,Baby Keem & Travis Scott,travis scott,
Like A Lady,Lady A,85,3,2021,,lady a,
Party Lyfe,Polo G,85,1,2021,Polo G Featuring DaBaby,polo g,
Party Lyfe,DaBaby,85,1,2021,Polo G Featuring DaBaby,dababy,
Pills & Billz,Rod Wave,85,1,2021,,rod wave,
Sad Beautiful Tragic (Taylor's Version),Taylor Swift,85,1,2021,,taylor swift,
Demeanor,Pop Smoke,86,1,2021,Pop Smoke Featuring Dua Lipa,pop smoke,
Demeanor,Dua Lipa,86,1,2021,Pop Smoke Featuring Dua Lipa,dua lipa,
From My Window,Juice WRLD,86,1,2021,,juice wrld,
Go Part 1,Polo G,86,1,2021,Polo G Featuring G Herbo,polo g,
Go Part 1,G Herbo,86,1,2021,Polo G Featuring G Herbo,g herbo,
Lose,KSI x Lil Wayne,86,1,2021,,ksi x lil wayne,
MP5,Trippie Redd,86,1,2021,Trippie Redd Featuring SoFaygo,trippie redd,
MP5,SoFaygo,86,1,2021,Trippie Redd Featuring SoFaygo,sofaygo,
Next Girl,Carly Pearce,86,4,2021,,carly pearce,
Outlaw,Morgan Wallen,86,1,2021,Morgan Wallen Featuring Ben Burgess,morgan wallen,
Outlaw,Ben Burgess,86,1,2021,Morgan Wallen Featuring Ben Burgess,ben burgess,
Refugee,Lil Durk,86,1,2021,,lil durk,
Tales Of Dominica,Lil Nas X,86,1,2021,,lil nas x,
Come Back...Be Here (Taylor's Version),Taylor Swift,87,1,2021,,taylor swift,
Like I Want You,Giveon,87,4,2021,,giveon,
Loved By You,Justin Bieber,87,1,2021,Justin Bieber Featuring Burna Boy,justin bieber,
Loved By You,Burna Boy,87,1,2021,Justin Bieber Featuring Burna Boy,burna boy,
Relocate,Juice WRLD,87,1,2021,,juice wrld,
Shy Away,twenty one pilots,87,1,2021,,twenty one pilots,
Young N Dumb,Polo G,87,1,2021,,polo g,
Better Believe,Belly,88,1,2021,"Belly, The Weeknd & Young Thug",belly,
Better Believe,The Weeknd,88,1,2021,"Belly, The Weeknd & Young Thug",the weeknd,
Better Believe,Young Thug,88,1,2021,"Belly, The Weeknd & Young Thug",young thug,
Chicken Tendies,Clinton Kane,88,1,2021,,clinton kane,
Daywalker!,Machine Gun Kelly,88,1,2021,Machine Gun Kelly & CORPSE,machine gun kelly,
Daywalker!,CORPSE,88,1,2021,Machine Gun Kelly & CORPSE,corpse,
Fifteen (Taylor's Version),Taylor Swift,88,1,2021,,taylor swift,
How The Game Go,Rod Wave,88,1,2021,,rod wave,
I Hope Ur Miserable Until Ur Dead,Nessa Barrett,88,1,2021,,nessa barrett,
One Of Me,Lil Nas X,88,1,2021,Lil Nas X Featuring Elton John,lil nas x,
One Of Me,Elton John,88,1,2021,Lil Nas X Featuring Elton John,elton john,
Working,Tate McRae,88,6,2021,Tate McRae X Khalid,tate mcrae,
Working,Khalid,88,6,2021,Tate McRae X Khalid,khalid,
Boom,Polo G,89,1,2021,,polo g,
Brainwashed,Tom MacDonald,89,1,2021,,tom macdonald,
How They Remember You,Rascal Flatts,89,2,2021,,rascal flatts,
Jumpin,NLE Choppa,89,1,2021,NLE Choppa Featuring Polo G,nle choppa,
Jumpin,Polo G,89,1,2021,NLE Choppa Featuring Polo G,polo g,
Lick Back,EST Gee,89,1,2021,,est gee,
Me (FWM),Meek Mill,89,1,2021,Meek Mill Featuring A$AP Ferg,meek mill,
Me (FWM),A$AP Ferg,89,1,2021,Meek Mill Featuring A$AP Ferg,a$ap ferg,
OMDB,Rod Wave,89,1,2021,,rod wave,
Volando,Mora,89,1,2021,"Mora, Bad Bunny & Sech",mora,
Volando,Bad Bunny,89,1,2021,"Mora, Bad Bunny & Sech",bad bunny,
Volando,Sech,89,1,2021,"Mora, Bad Bunny & Sech",sech,
Final Warning,NLE Choppa,90,1,2021,,nle choppa,
Halley's Comet,Billie Eilish,90,1,2021,,billie eilish,
I Guess I'm In Love,Clinton Kane,90,1,2021,,clinton kane,
In Da Getto,J Balvin,90,3,2021,J Balvin & Skrillex,j balvin,
In Da Getto,Skrillex,90,3,2021,J Balvin & Skrillex,skrillex,
Lost In The Citadel,Lil Nas X,90,1,2021,,lil nas x,
Love Train,Meek Mill,90,1,2021,,meek mill,
Money,Lisa,90,2,2021,,lisa,
Only Thing That's Gone,Morgan Wallen,90,1,2021,Morgan Wallen Featuring Chris Stapleton,morgan wallen,
Only Thing That's Gone,Chris Stapleton,90,1,2021,Morgan Wallen Featuring Chris Stapleton,chris stapleton,
Starlight (Taylor's Version),Taylor Swift,90,1,2021,,taylor swift,
Tell The Vision,Kanye West,90,1,2021,,kanye west,
Vamp Anthem,Playboi Carti,90,1,2021,,playboi carti,
ZaZa,6ix9ine,90,1,2021,,6ix9ine,
Feelin Like Tunechi,Lil Wayne,91,1,2021,Lil Wayne Featuring Rich The Kid,lil wayne,
Feelin Like Tunechi,Rich The Kid,91,1,2021,Lil Wayne Featuring Rich The Kid,rich the kid,
Get Ready,Rod Wave,91,1,2021,Rod Wave Featuring Kodak Black,rod wave,
Get Ready,Kodak Black,91,1,2021,Rod Wave Featuring Kodak Black,kodak black,
Kanye Krazy,Lil Durk,91,1,2021,,lil durk,
Let Somebody Go,Coldplay,91,1,2021,Coldplay X Selena Gomez,coldplay,
Let Somebody Go,Selena Gomez,91,1,2021,Coldplay X Selena Gomez,selena gomez,
Somebody,Justin Bieber,91,1,2021,,justin bieber,
Tampa,Cico P,91,2,2021,,cico p,
"Ya Superame (En Vivo Desde Culiacan, Sinaloa)",Grupo Firme,91,3,2021,,grupo firme,
24 Hours,A Boogie Wit da Hoodie,92,1,2021,A Boogie Wit da Hoodie Featuring Lil Durk,a boogie wit da hoodie,
24 Hours,Lil Durk,92,1,2021,A Boogie Wit da Hoodie Featuring Lil Durk,lil durk,
5500 Degrees,EST Gee,92,2,2021,"EST Gee Featuring Lil Baby, 42 Dugg & Rylo Rodriguez",est gee,
5500 Degrees,"Lil Baby, 42 Dugg & Rylo Rodriguez",92,2,2021,"EST Gee Featuring Lil Baby, 42 Dugg & Rylo Rodriguez",lil baby,"lil baby, 42 dugg & rylo rodriguez"
5500 Degrees,"Lil Baby, 42 Dugg & Rylo Rodriguez",92,2,2021,"EST Gee Featuring Lil Baby, 42 Dugg & Rylo Rodriguez",42 dugg,"lil baby, 42 dugg & rylo rodriguez"
5500 Degrees,"Lil Baby, 42 Dugg & Rylo Rodriguez",92,2,2021,"EST Gee Featuring Lil Baby, 42 Dugg & Rylo Rodriguez",rylo rodriguez,"lil baby, 42 dugg & rylo rodriguez"
Baddest Thing,YoungBoy Never Broke Again,92,1,2021,,youngboy never broke again,
Danny Phantom,Trippie Redd,92,1,2021,Trippie Redd Featuring XXXTENTACION,trippie redd,
Danny Phantom,XXXTENTACION,92,1,2021,Trippie Redd Featuring XXXTENTACION,xxxtentacion,
De Una Vez,Selena Gomez,92,1,2021,,selena gomez,
New N3on,Playboi Carti,92,1,2021,,playboi carti,
Outside,MO3,92,7,2021,MO3 X OG Bobby Billions,mo3,
Outside,OG Bobby Billions,92,7,2021,MO3 X OG Bobby Billions,og bobby billions,
This Bar,Morgan Wallen,92,1,2021,,morgan wallen,
Who's In Your Head,Jonas Brothers,92,6,2021,,jonas brothers,
Death Ain't Easy,Lil Durk,93,1,2021,,lil durk,
What's Wrong,Rod Wave,93,1,2021,,rod wave,
Wonderin' Bout The Wind,Morgan Wallen,93,1,2021,,morgan wallen,
Better Days,Ant Clemons,94,1,2021,Ant Clemons Featuring Justin Timberlake,ant clemons,
Better Days,Justin Timberlake,94,1,2021,Ant Clemons Featuring Justin Timberlake,justin timberlake,
De Museo,Bad Bunny,94,1,2021,,bad bunny,
Demon Time,Trippie Redd,94,1,2021,Trippie Redd Featuring Ski Mask The Slump God,trippie redd,
Demon Time,Ski Mask The Slump God,94,1,2021,Trippie Redd Featuring Ski Mask The Slump God,ski mask the slump god,
La Fama,Rosalia,94,1,2021,Rosalia Featuring The Weeknd,rosalia,
