name,wiki_article,wiki_match_method,wiki_views_2015,wiki_views_2016,wiki_views_2017,wiki_views_2018,wiki_views_2019,wiki_views_2020,wiki_views_2021,wiki_views_2022,wiki_views_2023,wiki_views_2024,wiki_views_first_top10_year,wiki_views_first_charting_year,wiki_has_page
adventure club,Adventure Club,name_search,38441.0,59008.0,39798.0,33616.0,32042.0,24933.0,17422.0,17275.0,18681.0,15936.0,,,True
aer,,not_found,,,,,,,,,,,,,False
aerosmith,,rejected_low_similarity,,,,,,,,,,,,,False
aesop rock,,not_found,,,,,,,,,,,,,False
aespa,,not_found,,,,,,,,,,,,,False
afi,,not_found,,,,,,,,,,,,,False
afrika bambaataa & the soul sonic force,,not_found,,,,,,,,,,,,,False
afrique,Afrique Victime,name_search,,,,,,,4731.0,18107.0,10498.0,20820.0,,,True
afro celt sound system,Afro_Celt_Sound_System,musicbrainz_link,27437.0,70612.0,53231.0,47849.0,129956.0,249777.0,328252.0,429978.0,482074.0,420859.0,,,True
afrojack,,not_found,,,,,,,,,,,,,False
afroman,,not_found,,,,,,,,,,,,,False
after 7,After 7 (After 7 album),name_search,,,,,,,,,,622.0,,,True
after the burial,Burial (Burial album),name_search,18188.0,31302.0,31186.0,27212.0,29594.0,26974.0,25273.0,23629.0,21246.0,23722.0,,,True
after the fire,,not_found,,,,,,,,,,,,,False
aftershock,,rejected_low_similarity,,,,,,,,,,,,,False
afu-ra,Afu-Ra,name_search,13898.0,27012.0,24705.0,23594.0,23051.0,23547.0,21412.0,19576.0,20368.0,18667.0,,,True
against me!,,not_found,,,,,,,,,,,,,False
against the current,,not_found,,,,,,,,,,,,,False
agatha lee monn,,rejected_low_similarity,,,,,,,,,,,,,False
agnetha faltskog,Agnetha_Fältskog,musicbrainz_link,316235.0,734789.0,834435.0,1405158.0,876269.0,1305897.0,2032710.0,1054055.0,1400076.0,1424925.0,,,True
agnetha faltskog/peter cetera,,not_found,,,,,,,,,,,,,False
agust d,,not_found,,,,,,,,,,,,,False
ahmad,,not_found,,,,,,,,,,,,,False
ahmad jamal,,not_found,,,,,,,,,,,,,False
aiden,,rejected_low_similarity,,,,,,,,,,,,,False
aimee mann,Aimee Mann,name_search,204433.0,386417.0,490483.0,426868.0,434234.0,482362.0,583569.0,725877.0,690734.0,565852.0,,,True
air,,not_found,,,,,,,,,,,,,False
air supply,,not_found,,,,,,,,,,,,,False
airbourne,Airbourne_(band),musicbrainz_link,49261.0,159604.0,129836.0,92913.0,124571.0,103617.0,87379.0,117830.0,105012.0,88236.0,,,True
airto moreira,,not_found,,,,,,,,,,,,,False
airwaves,,not_found,,,,,,,,,,,,,False
ajr,,not_found,,,,,,,,,,,,,False
akinyele,,not_found,,,,,,,,,,,,,False
akon,Akon City,name_search,,,,,,3247.0,7942.0,5945.0,3507.0,152762.0,,,True
"akon, lil wayne & niia",,rejected_low_similarity,,,,,,,,,,,,,False
akwid,,not_found,,,,,,,,,,,,,False
akwid / jae-p,,not_found,,,,,,,,,,,,,False
al (he's the king) hirt,Al Hirt,name_search,33047.0,75851.0,69394.0,60072.0,63958.0,73585.0,68030.0,69357.0,71198.0,68249.0,,,True
al b. sure!,,not_found,,,,,,,,,,,,,False
al brown's tunetoppers,,not_found,,,,,,,,,,,,,False
al caiola and his orchestra,,not_found,,,,,,,,,,,,,False
al casey,Ken Casey,name_search,33748.0,69138.0,78905.0,77350.0,76364.0,109337.0,77322.0,98836.0,92056.0,87287.0,,,True
al casey combo,,not_found,,,,,,,,,,,,,False
al corley,,not_found,,,,,,,,,,,,,False
al delory,,not_found,,,,,,,,,,,,,False
al di meola,,not_found,,,,,,,,,,,,,False
al di meola project,,not_found,,,,,,,,,,,,,False
al dimeola/john mclaughlin/paco de lucia,Al Di Meola,name_search,69332.0,143046.0,134497.0,143285.0,139057.0,171895.0,210536.0,271780.0,297002.0,233636.0,,,True
al downing,,not_found,,,,,,,,,,,,,False
al green,,not_found,,,,,,,,,,,,,False
al greene,,not_found,,,,,,,,,,,,,False
al hirt,,not_found,,,,,,,,,,,,,False
al hudson,Samantha Hudson,name_search,,,,,,,,,1.0,18202.0,,,True
al jarreau,Al Jarreau discography,name_search,,,,,,,,16762.0,21384.0,24891.0,,,True
al kent,You Can Call Me Al,name_search,95645.0,198901.0,215191.0,246978.0,219894.0,208281.0,206135.0,190074.0,207556.0,205416.0,,,True
al kooper,,not_found,,,,,,,,,,,,,False
al martino,,not_found,,,,,,,,,,,,,False
al stewart,Al Stewart,name_search,92607.0,193667.0,220235.0,219437.0,242942.0,272803.0,298377.0,312801.0,347051.0,297173.0,,,True
al wilson,,not_found,,,,,,,,,,,,,False
alabama,The Blind Boys of Alabama,name_search,42274.0,78417.0,77799.0,92723.0,100198.0,117929.0,129727.0,146123.0,210659.0,202217.0,,,True
alabama shakes,,not_found,,,,,,,,,,,,,False
alacranes musical,,not_found,,,,,,,,,,,,,False
alan jackson,Alan Jackson,name_search,256595.0,506772.0,856674.0,745932.0,687310.0,679247.0,848832.0,1433221.0,1151292.0,872248.0,,,True
alan jackson/george strait/jimmy buffett,,not_found,,,,,,,,,,,,,False
alan o'day,,not_found,,,,,,,,,,,,,False
alan parsons,Alan Parsons,name_search,116814.0,314454.0,288066.0,320867.0,357205.0,377626.0,423782.0,407829.0,386293.0,445561.0,,,True
alan price,,not_found,,,,,,,,,,,,,False
alan price set,,not_found,,,,,,,,,,,,,False
alan walker,Alan Walker,name_search,8766.0,87242.0,78582.0,57552.0,42882.0,24241.0,18934.0,382616.0,692846.0,684125.0,,,True
alana davis,,not_found,,,,,,,,,,,,,False
alanis morissette,,not_found,,,,,,,,,,,,,False
alannah myles,Alannah Myles (album),name_search,9805.0,21465.0,24795.0,24422.0,30915.0,33593.0,27775.0,30102.0,32256.0,32812.0,,,True
albert collins,,not_found,,,,,,,,,,,,,False
albert finney,,not_found,,,,,,,,,,,,,False
albert hammond,Albert Hammond,name_search,88583.0,162028.0,182779.0,216067.0,179860.0,216884.0,215417.0,202531.0,247354.0,222072.0,,,True
albert king,,not_found,,,,,,,,,,,,,False
alcatrazz,,not_found,,,,,,,,,,,,,False
alchemist,The Alchemist (musician),name_search,87195.0,288740.0,297333.0,246093.0,222391.0,437669.0,353894.0,332063.0,427835.0,478806.0,,,True
alchemist: step brothers,The Alchemist (musician),name_search,87195.0,288740.0,297333.0,246093.0,222391.0,437669.0,353894.0,332063.0,427835.0,478806.0,,,True
aldo nova,,not_found,,,,,,,,,,,,,False
alec benjamin,,not_found,,,,,,,,,,,,,False
alec benjamin + alessia cara,Alec Benjamin,name_search,1558.0,13383.0,60322.0,218241.0,634998.0,425840.0,280215.0,312618.0,252018.0,207420.0,,,True
alec r. costandinos,,not_found,,,,,,,,,,,,,False
alecia elliott,,not_found,,,,,,,,,,,,,False
alejandra guzman,Alejandra Guzmán,name_search,40187.0,87072.0,94456.0,92040.0,197241.0,97956.0,114492.0,154498.0,146578.0,165175.0,,,True
alejandro escovedo,,not_found,,,,,,,,,,,,,False
alejandro fernandez,,not_found,,,,,,,,,,,,,False
alejandro sanz,Alejandro Sanz,name_search,82413.0,159048.0,163207.0,147897.0,173474.0,139955.0,137637.0,108149.0,149787.0,124874.0,,,True
aleman,,not_found,,,,,,,,,,,,,False
