performer_normalized,performer,first_song_year,last_song_year,first_album_year,last_album_year,years_active_on_charts,#_of_unique_years_active,total_charting_songs,total_charting_albums,#1_hit_song_count,#1_hit_album_count,top_10_song_count,top_10_album_count,top_20_song_count,top_20_album_count,top_50_song_count,top_50_album_count,highest_charting_song_name,highest_charting_song_position,first_charting_song_name,first_charting_song_position,first_charting_song_duration,total_charting_songs_duration_weeks,highest_charting_album_name,highest_charting_album_position,first_charting_album_name,first_charting_album_position,first_charting_album_duration,total_charting_albums_duration_weeks
three days grace,Three Days Grace,2003,2009,2003,2025,2003-2025,11,7,8,0,0,0,3,0,4,1,6,Pain,44,(I Hate) Everything About You,55,20,124,Life Starts Now,3,Three Days Grace,69,82,316
three dog night,Three Dog Night,1969,1975,1969,2011,1969-2011,10,21,16,3,0,11,5,18,11,21,12,Mama Told Me (Not To Come),1,Easy To Be Hard,4,13,268,Golden Bisquits,5,Was Captured Live At The Forum,6,72,630
"three hanks: hank williams, sr., jr., iii","Three Hanks: Hank Williams, Sr., Jr., III",0,0,1996,1996,1996-1996,1,0,1,0,0,0,0,0,0,0,0,,0,,0,0,0,Three Hanks: Men With Broken Hearts,167,Three Hanks: Men With Broken Hearts,167,1,1
three the... g. dep,Three The... G. Dep,2001,2001,0,0,2001-2001,1,1,0,0,0,0,0,0,0,0,0,Let's Get It,80,Let's Get It,80,9,9,,0,,0,0,0
three times dope,Three Times Dope,0,0,1989,1989,1989-1989,1,0,1,0,0,0,0,0,0,0,0,,0,,0,0,0,Original Stylin',122,Original Stylin',122,18,18
thrice,Thrice,0,0,2003,2018,2003-2018,9,0,9,0,0,0,0,0,5,0,8,,0,,0,0,0,Vheissu,15,The Artist In The Ambulance,16,12,33
thrive worship,Thrive Worship,0,0,2019,2022,2019-2022,2,0,2,0,0,0,0,0,0,0,1,,0,,0,0,0,A Thousand More,24,A Thousand More,24,1,2
thriving ivory,Thriving Ivory,2009,2009,2009,2010,2009-2010,2,1,2,0,0,0,0,0,0,0,0,Angels On The Moon,75,Angels On The Moon,75,9,9,Thriving Ivory,102,Thriving Ivory,102,15,16
throwdown,Throwdown,0,0,2005,2014,2005-2014,3,0,3,0,0,0,0,0,0,0,0,,0,,0,0,0,Venom & Tears,81,Vendetta,156,1,4
thrust,Thrust,2000,2000,0,0,2000-2000,1,1,0,0,0,0,0,0,0,1,0,Faded,22,Faded,22,24,24,,0,,0,0,0
thug life,Thug Life,0,0,1994,1994,1994-1994,1,0,1,0,0,0,0,0,0,0,1,,0,,0,0,0,Volume I,42,Volume I,42,29,29
thunder,Thunder,1991,1991,1991,1991,1991-1991,1,1,1,0,0,0,0,0,0,0,0,Dirty Love,55,Dirty Love,55,13,13,Backstreet Symphony,114,Backstreet Symphony,114,10,10
thundercat,George Clinton & Thundercat,2015,2015,2013,2020,2013-2020,4,1,3,0,0,0,0,0,0,0,2,Wesley's Theory,91,Wesley's Theory,91,1,1,It Is What It Is,38,Apocalypse,194,1,5
thundercat & bootsy collins,Thundercat & Bootsy Collins,2021,2021,0,0,2021-2021,1,1,0,0,0,0,0,0,0,0,0,After Last Night,68,After Last Night,68,1,1,,0,,0,0,0
thunderclap newman,Thunderclap Newman,1969,1969,1970,1970,1969-1970,2,1,1,0,0,0,0,0,0,1,0,Something In The Air,37,Something In The Air,37,10,10,Hollywood Dream,161,Hollywood Dream,161,10,10
thurl ravenscroft,Thurl Ravenscroft,2020,2020,0,0,2020-2020,1,1,0,0,0,0,0,0,0,1,0,"You're A Mean One, Mr. Grinch",31,"You're A Mean One, Mr. Grinch",31,17,17,,0,,0,0,0
thursday,Thursday,0,0,2002,2011,2002-2011,6,0,7,0,0,0,1,0,2,0,2,,0,,0,0,0,War All The Time,7,Full Collapse,178,1,21
thurston harris,Thurston Harris,1958,1958,0,0,1958-1958,1,1,0,0,0,0,0,0,0,0,0,Over And Over,96,Over And Over,96,1,1,,0,,0,0,0
thurston moore,Thurston Moore,0,0,2011,2014,2011-2014,2,0,2,0,0,0,0,0,0,0,0,,0,,0,0,0,Demolished Thoughts,139,Demolished Thoughts,139,1,2
thxsomch,ThxSoMch,2023,2023,0,0,2023-2023,1,1,0,0,0,0,0,0,0,0,0,Spit In My Face!,100,Spit In My Face!,100,1,1,,0,,0,0,0
thy art is murder,Thy Art Is Murder,0,0,2015,2017,2015-2017,2,0,2,0,0,0,0,0,0,0,0,,0,,0,0,0,Holy War,82,Holy War,82,2,3
tia,Tia,1987,1987,0,0,1987-1987,1,1,0,0,0,0,0,0,0,0,0,Boy Toy,97,Boy Toy,97,2,2,,0,,0,0,0
tiana,Tiana,1990,1990,0,0,1990-1990,1,1,0,0,0,0,0,0,0,0,0,First True Love,81,First True Love,81,12,12,,0,,0,0,0
tiara thomas or rihanna,Tiara Thomas Or Rihanna,2013,2013,0,0,2013-2013,1,1,0,0,0,0,0,0,0,1,0,Bad,21,Bad,21,26,26,,0,,0,0,0
tico and the triumphs,Tico And The Triumphs,1962,1962,0,0,1962-1962,1,1,0,0,0,0,0,0,0,0,0,Motorcycle,99,Motorcycle,99,1,1,,0,,0,0,0
tiera kennedy,Tiera Kennedy,2024,2024,0,0,2024-2024,1,1,0,0,0,0,0,0,0,1,0,Blackbiird,27,Blackbiird,27,2,2,,0,,0,0,0
tierra,Tierra,1980,1981,1980,1980,1980-1981,2,3,1,0,0,0,0,1,0,1,1,Together,18,Together,18,21,35,City Nights,38,City Nights,38,21,21
tierra cali,Tierra Cali,0,0,2008,2011,2008-2011,4,0,4,0,0,0,0,0,0,0,0,,0,,0,0,0,Si Tu Te Vas,128,Mas Alla De La Distancia,158,1,5
tiesto,Tiesto,2014,2024,2006,2023,2006-2024,13,6,12,0,0,0,0,0,2,2,3,The Motto,42,Wasted,49,12,68,Clublife: Volume Two: Miami,16,In Search Of Sunrise 5: Los Angeles,164,1,35
tiesto & dzeko,Tiesto & Dzeko,2018,2018,0,0,2018-2018,1,1,0,0,0,0,0,0,0,0,0,Jackie Chan,52,Jackie Chan,52,19,19,,0,,0,0,0
tiffany,Tiffany,1987,1989,1987,1988,1987-1989,3,6,2,2,1,4,1,4,2,6,2,Could've Been,1,Could've Been,1,20,97,Tiffany,1,Tiffany,1,69,98
tiffany evans,Tiffany Evans,0,0,2008,2008,2008-2008,1,0,1,0,0,0,0,0,0,0,0,,0,,0,0,0,Tiffany Evans,134,Tiffany Evans,134,1,1
tift merritt,Tift Merritt,0,0,2008,2008,2008-2008,1,0,1,0,0,0,0,0,0,0,0,,0,,0,0,0,Another Country,156,Another Country,156,1,1
tig notaro,Tig Notaro,0,0,2013,2013,2013-2013,1,0,1,0,0,0,0,0,0,0,0,,0,,0,0,0,Live (EP),118,Live (EP),118,2,2
tiger army,Tiger Army,0,0,2004,2016,2004-2016,3,0,3,0,0,0,0,0,0,0,1,,0,,0,0,0,Music From Regions Beyond,49,Tiger Army III: Ghost Tigers Rise,146,1,5
tigers jaw,Tigers Jaw,0,0,2014,2014,2014-2014,1,0,1,0,0,0,0,0,0,0,1,,0,,0,0,0,Charmer,49,Charmer,49,1,1
tiggi clay,Tiggi Clay,1984,1984,0,0,1984-1984,1,1,0,0,0,0,0,0,0,0,0,Flashes,86,Flashes,86,3,3,,0,,0,0,0
tight fit,Tight Fit,1981,1981,0,0,1981-1981,1,1,0,0,0,0,0,0,0,0,0,Back To The 60's,89,Back To The 60's,89,3,3,,0,,0,0,0
tillbrook,Tillbrook,0,0,1984,1984,1984-1984,1,0,1,0,0,0,0,0,0,0,0,,0,,0,0,0,Difford & Tillbrook,55,Difford & Tillbrook,55,15,15
tim armstrong,Tim Armstrong,0,0,2007,2007,2007-2007,1,0,1,0,0,0,0,0,0,0,0,,0,,0,0,0,A Poet's Life,59,A Poet's Life,59,3,3
tim buckley,Tim Buckley,0,0,1967,1970,1967-1970,3,0,3,0,0,0,0,0,0,0,0,,0,,0,0,0,Happy Sad,81,Goodbye And Hello,171,5,19
tim curry,Tim Curry,1979,1979,1979,1981,1979-1981,2,1,2,0,0,0,0,0,0,0,0,I Do The Rock,91,I Do The Rock,91,3,3,Fearless,53,Fearless,53,24,32
tim davis,Tim Davis,1972,1972,0,0,1972-1972,1,1,0,0,0,0,0,0,0,0,0,Buzzy Brown,91,Buzzy Brown,91,3,3,,0,,0,0,0
tim dog,Tim Dog,0,0,1991,1991,1991-1991,1,0,1,0,0,0,0,0,0,0,0,,0,,0,0,0,Penicillin On Wax,155,Penicillin On Wax,155,2,2
tim finn,Tim Finn,0,0,1983,1983,1983-1983,1,0,1,0,0,0,0,0,0,0,0,,0,,0,0,0,Escapade,161,Escapade,161,5,5
tim hardin,Tim Hardin,1969,1969,1969,1971,1969-1971,2,1,2,0,0,0,0,0,0,1,0,Simple Song Of Freedom,50,Simple Song Of Freedom,50,7,7,"Suite For Susan Moore And Damion-We Are-One, One, All In One",129,"Suite For Susan Moore And Damion-We Are-One, One, All In One",129,8,9
tim mcgraw,Tim McGraw,1994,2026,1994,2023,1994-2026,30,63,24,0,4,3,18,6,19,39,21,Over And Over,3,Indian Outlaw,15,20,935,Not A Moment Too Soon,1,Not A Moment Too Soon,1,115,1491
tim moore,Tim Moore,1973,1977,1974,1975,1973-1977,4,4,2,0,0,0,0,0,0,0,0,Second Avenue,58,Fool Like You,93,3,14,Tim Moore,119,Tim Moore,119,9,12
tim rushlow,Tim Rushlow,2001,2001,0,0,2001-2001,1,1,0,0,0,0,0,0,0,0,0,She Misses Him,59,She Misses Him,59,11,11,,0,,0,0,0
tim tam and the turn-ons,Tim Tam And The Turn-Ons,1966,1966,0,0,1966-1966,1,1,0,0,0,0,0,0,0,0,0,Wait A Minute,76,Wait A Minute,76,5,5,,0,,0,0,0
tim weisberg,Tim Weisberg,0,0,1973,1980,1973-1980,7,0,8,0,0,0,0,0,0,0,0,,0,,0,0,0,Tim Weisberg 4,100,Dreamspeaker,160,4,59
timbaland,Timbaland,1997,2023,1997,2009,1997-2023,11,22,6,2,0,6,1,9,1,14,6,Promiscuous,1,Up Jumps Da Boogie,12,20,351,Timbaland Presents Shock Value,5,Welcome To Our World,33,37,148
timbuk 3,Timbuk 3,1986,1986,1986,1988,1986-1988,2,1,2,0,0,0,0,1,0,1,1,"The Future's So Bright, I Gotta Wear Shades",19,"The Future's So Bright, I Gotta Wear Shades",19,16,16,Greetings From Timbuk 3,50,Greetings From Timbuk 3,50,30,43
timeflies,Timeflies,0,0,2012,2015,2012-2015,4,0,4,0,0,0,1,0,1,0,3,,0,,0,0,0,After Hours,8,One Night (EP),29,1,4
times of grace,Times Of Grace,0,0,2011,2011,2011-2011,1,0,1,0,0,0,0,0,0,0,1,,0,,0,0,0,The Hymn Of A Broken Man,44,The Hymn Of A Broken Man,44,2,2
times two,Times Two,1988,1988,1988,1988,1988-1988,1,2,1,0,0,0,0,0,0,1,0,Strange But True,21,Strange But True,21,17,23,X2,137,X2,137,11,11
timex social club,Timex Social Club,1986,1986,0,0,1986-1986,1,1,0,0,0,1,0,1,0,1,0,Rumors,8,Rumors,8,19,19,,0,,0,0,0
timi yuro,Timi Yuro,1961,1965,0,0,1961-1965,4,11,0,0,0,1,0,2,0,5,0,Hurt,4,Hurt,4,12,68,,0,,0,0,0
timmy shaw,Timmy Shaw,1964,1964,0,0,1964-1964,1,1,0,0,0,0,0,0,0,1,0,Gonna Send You Back To Georgia (A City Slick),41,Gonna Send You Back To Georgia (A City Slick),41,7,7,,0,,0,0,0
timmy t.,Timmy T.,1990,1991,1991,1991,1990-1991,2,4,1,1,0,1,0,1,0,2,1,One More Try,1,One More Try,1,25,52,Time After Time,46,Time After Time,46,23,23
timmy thomas,Timmy Thomas,1972,1984,1973,1973,1972-1984,3,3,1,0,0,1,0,1,0,1,0,Why Can't We Live Together,3,Why Can't We Live Together,3,15,23,Why Can't We Live Together,53,Why Can't We Live Together,53,15,15
timothy b. schmit,Timothy B. Schmit,1982,1987,1984,1987,1982-1987,3,2,2,0,0,0,0,0,0,1,0,Boys Night Out,25,So Much In Love,59,8,21,Timothy B.,106,Playin' It Cool,160,5,16
tin machine,Tin Machine,0,0,1989,1991,1989-1991,2,0,2,0,0,0,0,0,0,0,1,,0,,0,0,0,Tin Machine,28,Tin Machine,28,17,20
tin tin,Tin Tin,1971,1971,1971,1971,1971-1971,1,2,1,0,0,0,0,1,0,1,0,Toast And Marmalade For Tea,20,Toast And Marmalade For Tea,20,11,17,Tin Tin,197,Tin Tin,197,1,1
tina,Tina,1966,1966,0,0,1966-1966,1,1,0,0,0,0,0,0,0,0,0,River Deep-Mountain High,88,River Deep-Mountain High,88,4,4,,0,,0,0,0
tina arena,Tina Arena,1996,2003,1996,1996,1996-2003,2,2,1,0,0,0,0,0,0,1,0,Chains,38,Chains,38,12,17,Don't Ask,101,Don't Ask,101,8,8
tina campbell,Tina Campbell,0,0,2015,2015,2015-2015,1,0,1,0,0,0,0,0,0,0,0,,0,,0,0,0,It's Personal,90,It's Personal,90,2,2
tina robin,Tina Robin,1961,1961,0,0,1961-1961,1,1,0,0,0,0,0,0,0,0,0,Dear Mr. D.J. Play It Again,95,Dear Mr. D.J. Play It Again,95,1,1,,0,,0,0,0
tina turner,Ike & Tina Turner,1960,1996,1969,2023,1960-2023,27,36,25,1,0,7,3,11,4,20,9,What's Love Got To Do With It,1,A Fool In Love,27,13,390,All The Best,2,Outta Season,91,12,451
tinashe,Tinashe,2014,2025,2014,2024,2014-2025,7,5,6,0,0,0,0,0,1,2,1,2 On,24,2 On,24,24,83,Aquarius,17,Aquarius,17,3,8
tinie tempah,Tinie Tempah,2011,2011,2011,2011,2011-2011,1,2,1,0,0,0,0,1,0,1,1,Written In The Stars,12,Written In The Stars,12,20,24,Disc-Overy,21,Disc-Overy,21,4,4
tink,Tink,0,0,2018,2024,2018-2024,6,0,6,0,0,0,0,0,0,0,1,,0,,0,0,0,Pillow Talk,43,Pain & Pleasure (EP),147,1,8
tinted windows,Tinted Windows,0,0,2009,2009,2009-2009,1,0,1,0,0,0,0,0,0,0,0,,0,,0,0,0,Tinted Windows,59,Tinted Windows,59,2,2
tiny tim,Tiny Tim,1968,1969,1968,1968,1968-1969,2,3,1,0,0,0,1,1,1,1,1,Tip-Toe Thru' The Tulips With Me,17,Tip-Toe Thru' The Tulips With Me,17,9,14,God Bless Tiny Tim,7,God Bless Tiny Tim,7,32,32
tip,TIP,0,0,2015,2015,2015-2015,1,0,1,0,0,0,0,0,0,0,1,,0,,0,0,0,Da' Nic (EP),22,Da' Nic (EP),22,3,3
tired pony,Tired Pony,0,0,2010,2010,2010-2010,1,0,1,0,0,0,0,0,0,0,0,,0,,0,0,0,Place We Ran From,191,Place We Ran From,191,1,1
tite curet alonso,Tite Curet Alonso,0,0,2009,2009,2009-2009,1,0,1,0,0,0,0,0,0,0,0,,0,,0,0,0,A Man And His Songs: Alma De Poeta,199,A Man And His Songs: Alma De Poeta,199,1,1
titiyo,Titiyo,1991,1991,0,0,1991-1991,1,1,0,0,0,0,0,0,0,1,0,My Body Says Yes,42,My Body Says Yes,42,11,11,,0,,0,0,0
title fight,Title Fight,0,0,2012,2015,2012-2015,2,0,2,0,0,0,0,0,0,0,0,,0,,0,0,0,Floral Green,69,Floral Green,69,1,2
tito 'el bambino' el patron,Tito 'El Bambino' El Patron,0,0,2006,2011,2006-2011,4,0,4,0,0,0,0,0,0,0,0,,0,,0,0,0,Top Of The Line,85,Top Of The Line,85,4,27
tito double p,Tito Double P,2024,2026,2024,2026,2024-2026,3,11,2,0,0,0,1,0,2,0,2,Dos Dias,51,Dos Dias,51,20,62,DINASTIA,6,Incomodo,11,60,66
titus andronicus,Titus Andronicus,0,0,2012,2015,2012-2015,2,0,2,0,0,0,0,0,0,0,0,,0,,0,0,0,Local Business,105,Local Business,105,1,2
titus turner,Titus Turner,1959,1961,0,0,1959-1961,2,2,0,0,0,0,0,0,0,0,0,Sound-Off,77,We Told You Not To Marry,83,6,10,,0,,0,0,0
tjr,TJR,2012,2012,0,0,2012-2012,1,1,0,0,0,0,0,1,0,1,0,Don't Stop The Party,17,Don't Stop The Party,17,20,20,,0,,0,0,0
tk kravitz,TK Kravitz,2018,2018,0,0,2018-2018,1,1,0,0,0,0,0,0,0,0,0,Ocean,76,Ocean,76,3,3,,0,,0,0,0
tka,TKA,1986,1992,1988,1992,1986-1992,6,6,2,0,0,0,0,0,0,1,0,Maria,44,One Way Love,75,9,60,Greatest Hits,131,Scars Of Love,135,11,20
tko,Tko,0,0,1979,1979,1979-1979,1,0,1,0,0,0,0,0,0,0,0,,0,,0,0,0,Let It Roll,181,Let It Roll,181,2,2
tlc,TLC,1992,2013,1992,2017,1992-2017,11,16,7,4,1,9,3,9,5,13,6,Creep,1,Baby-Baby-Baby,2,33,336,Fanmail,1,Ooooooohhh. . .On The TLC Tip,14,73,295
tmi boyz,TMI Boyz,0,0,2008,2008,2008-2008,1,0,1,0,0,0,0,0,0,0,0,,0,,0,0,0,Grindin' For A Purpose,79,Grindin' For A Purpose,79,3,3
tnght,TNGHT,0,0,2012,2012,2012-2012,1,0,1,0,0,0,0,0,0,0,0,,0,,0,0,0,TNGHT (EP),180,TNGHT (EP),180,1,1
tnt,TNT,0,0,1987,1989,1987-1989,2,0,2,0,0,0,0,0,0,0,0,,0,,0,0,0,Tell No Tales,100,Tell No Tales,100,21,33
to be continued...,To Be Continued...,1994,1994,0,0,1994-1994,1,1,0,0,0,0,0,0,0,0,0,One On One,70,One On One,70,7,7,,0,,0,0,0
toad the wet sprocket,Toad The Wet Sprocket,1992,1994,1992,2013,1992-2013,5,4,5,0,0,0,0,2,1,4,4,All I Want,15,All I Want,15,25,82,Coil,19,Fear,49,46,116
toadies,Toadies,0,0,1995,2008,1995-2008,3,0,3,0,0,0,0,0,0,0,0,,0,,0,0,0,Rubberneck,56,Rubberneck,56,49,52
tobacco,Tobacco,0,0,2014,2014,2014-2014,1,0,1,0,0,0,0,0,0,0,0,,0,,0,0,0,Ultima II Massage,157,Ultima II Massage,157,1,1
tobias jesso jr.,Tobias Jesso Jr.,0,0,2015,2015,2015-2015,1,0,1,0,0,0,0,0,0,0,0,,0,,0,0,0,Goon,96,Goon,96,1,1
tobin mathews,Tobin Mathews,1960,1960,0,0,1960-1960,1,1,0,0,0,0,0,0,0,1,0,Ruby Duby Du,30,Ruby Duby Du,30,8,8,,0,,0,0,0
toby beau,Toby Beau,1978,1980,1978,1978,1978-1980,3,3,1,0,0,0,0,1,0,1,1,My Angel Baby,13,My Angel Baby,13,17,30,Toby Beau,40,Toby Beau,40,23,23
toby keith,Toby Keith,1993,2012,1993,2024,1993-2024,22,38,25,0,5,0,14,1,15,18,20,Red Solo Cup,15,Should've Been A Cowboy,93,2,549,Unleashed,1,Toby Keith,99,62,1096
toby keith duet,Toby Keith Duet,2003,2003,0,0,2003-2003,1,1,0,0,0,0,0,0,0,1,0,Beer For My Horses,22,Beer For My Horses,22,20,20,,0,,0,0,0
toby lightman,Toby Lightman,0,0,2004,2004,2004-2004,1,0,1,0,0,0,0,0,0,0,0,,0,,0,0,0,Little Things,200,Little Things,200,1,1
toby love,Toby Love,2006,2006,0,0,2006-2006,1,1,0,0,0,0,0,0,0,0,0,Tengo Un Amor,100,Tengo Un Amor,100,1,1,,0,,0,0,0
tobymac,tobyMac,0,0,2001,2025,2001-2025,12,0,13,0,1,0,4,0,5,0,6,,0,,0,0,0,Eye On It,1,Momentum,110,2,223
today,Today,0,0,1989,1990,1989-1990,2,0,2,0,0,0,0,0,0,0,0,,0,,0,0,0,Today,86,Today,86,22,28
today's people,Today's People,1973,1973,0,0,1973-1973,1,1,0,0,0,0,0,0,0,0,0,He,90,He,90,6,6,,0,,0,0,0
todd agnew,Todd Agnew,0,0,2005,2007,2005-2007,2,0,2,0,0,0,0,0,0,0,0,,0,,0,0,0,Reflection Of Something,86,Reflection Of Something,86,2,4
todd dulaney,Todd Dulaney,0,0,2016,2018,2016-2018,2,0,2,0,0,0,0,0,0,0,0,,0,,0,0,0,A Worshippers Heart,150,A Worshippers Heart,150,1,2
todd rundgren,Todd Rundgren,1972,1983,1971,1991,1971-1991,12,8,14,0,0,1,0,2,0,4,4,Hello It's Me,5,I Saw The Light,16,14,73,Something/Anything?,29,Runt,185,6,217
todd snider,Todd Snider,0,0,2006,2012,2006-2012,3,0,3,0,0,0,0,0,0,0,0,,0,,0,0,0,Agnostic Hymns & Stoner Fables,95,The Devil You Know,173,1,3
todd terje,Todd Terje,0,0,2014,2014,2014-2014,1,0,1,0,0,0,0,0,0,0,0,,0,,0,0,0,It's Album Time,120,It's Album Time,120,1,1
todrick hall,Todrick Hall,0,0,2016,2016,2016-2016,1,0,1,0,0,0,0,0,0,0,0,,0,,0,0,0,Straight Outta Oz,142,Straight Outta Oz,142,1,1
together? (soundtrack),Together? (Soundtrack),1980,1980,0,0,1980-1980,1,1,0,0,0,0,0,0,0,0,0,I Don't Need You Anymore,86,I Don't Need You Anymore,86,5,5,,0,,0,0,0
tokio hotel,Tokio Hotel,0,0,2008,2009,2008-2009,2,0,2,0,0,0,0,0,0,0,2,,0,,0,0,0,Humanoid,35,Scream,39,21,24
tokyo police club,Tokyo Police Club,0,0,2008,2014,2008-2014,3,0,3,0,0,0,0,0,0,0,0,,0,,0,0,0,Champ,59,Elephant Shell,106,2,4
tom,Tom,1965,1965,1967,1969,1965-1969,3,1,2,0,0,0,0,0,0,1,0,Boo-Ga-Loo,47,Boo-Ga-Loo,47,8,8,The Best Of The 50 Guitars Of Tommy Garrett,147,More 50 Guitars In Love,168,3,12
tom browne,Tom Browne,0,0,1979,1983,1979-1983,4,0,5,0,0,0,0,0,1,0,2,,0,,0,0,0,Love Approach,18,Browne Sugar,147,6,77
tom clay,Tom Clay,1971,1971,1971,1971,1971-1971,1,1,1,0,0,1,0,1,0,1,0,"What The World Needs Now Is Love/Abraham, Martin and John",8,"What The World Needs Now Is Love/Abraham, Martin and John",8,9,9,What The World Needs Now Is Love,92,What The World Needs Now Is Love,92,5,5
tom cochrane,Tom Cochrane,1992,1992,1980,1992,1980-1992,6,2,6,0,0,1,0,1,0,1,1,Life Is A Highway,6,Life Is A Highway,6,26,30,Mad Mad World,46,Don't Fight It,146,5,99
tom delonge,Tom DeLonge,0,0,2015,2015,2015-2015,1,0,1,0,0,0,0,0,0,0,0,,0,,0,0,0,"To The Stars... Demos, Odds And Ends",70,"To The Stars... Demos, Odds And Ends",70,1,1
tom fogerty,Tom Fogerty,0,0,1972,1972,1972-1972,1,0,1,0,0,0,0,0,0,0,0,,0,,0,0,0,Tom Fogerty,180,Tom Fogerty,180,6,6
tom gabel,Tom Gabel,0,0,2008,2008,2008-2008,1,0,1,0,0,0,0,0,0,0,0,,0,,0,0,0,Heart Burns (EP),185,Heart Burns (EP),185,1,1
tom glazer and the do-re-mi children's chorus,Tom Glazer And The Do-Re-Mi Children's Chorus,1963,1963,0,0,1963-1963,1,1,0,0,0,0,0,1,0,1,0,On Top Of Spaghetti,14,On Top Of Spaghetti,14,9,9,,0,,0,0,0
tom higgenson,Tom Higgenson,2008,2008,0,0,2008-2008,1,1,0,0,0,0,0,0,0,0,0,Little Miss Obsessive,96,Little Miss Obsessive,96,1,1,,0,,0,0,0
tom johnston,Tom Johnston,1979,1979,1979,1981,1979-1981,2,1,2,0,0,0,0,0,0,1,0,Savannah Nights,34,Savannah Nights,34,12,12,Everything You've Heard Is True,100,Everything You've Heard Is True,100,13,20
tom jones,Tom Jones,1965,1988,1967,2010,1965-2010,16,28,20,0,0,5,4,11,7,22,9,She's A Lady,2,What's New Pussycat?,3,12,272,Tom Jones Live In Las Vegas,3,"Green, Green Grass Of Home",65,45,547
tom keifer,Tom Keifer,0,0,2013,2013,2013-2013,1,0,1,0,0,0,0,0,0,0,0,,0,,0,0,0,The Way Life Goes,78,The Way Life Goes,78,1,1
tom kimmel,Tom Kimmel,1987,1987,1987,1987,1987-1987,1,1,1,0,0,0,0,0,0,0,0,That's Freedom,64,That's Freedom,64,8,8,5 To 1,104,5 To 1,104,15,15
tom macdonald,Tom MacDonald,2021,2025,2022,2023,2021-2025,5,5,2,0,0,0,0,1,1,1,1,Facts,16,Snowflakes,71,1,5,The Brave,14,The Brave,14,1,2
tom morello,Tom Morello,0,0,2018,2018,2018-2018,1,0,1,0,0,0,0,0,0,0,0,,0,,0,0,0,The Atlas Underground,141,The Atlas Underground,141,1,1
tom morello the nightwatchman,Tom Morello The Nightwatchman,0,0,2007,2008,2007-2008,2,0,2,0,0,0,0,0,0,0,0,,0,,0,0,0,One Man Revolution,119,One Man Revolution,119,1,2
tom northcott,Tom Northcott,1968,1968,0,0,1968-1968,1,1,0,0,0,0,0,0,0,0,0,1941,88,1941,88,2,2,,0,,0,0,0
tom parker,Tom Parker,1972,1972,0,0,1972-1972,1,1,0,0,0,1,0,1,0,1,0,Joy,6,Joy,6,14,14,,0,,0,0,0
tom paxton,Tom Paxton,0,0,1969,1972,1969-1972,4,0,4,0,0,0,0,0,0,0,0,,0,,0,0,0,How Come The Sun,120,The Things I Notice Now,155,4,15
tom petty,Tom Petty,1978,2006,1989,2021,1978-2021,8,8,5,0,0,1,4,3,4,5,4,Free Fallin',7,Listen To Her Heart,59,6,95,Full Moon Fever,3,Full Moon Fever,3,77,160
tom petty & the heartbreakers,Tom Petty & The Heartbreakers,1986,1986,2009,2014,1986-2014,3,1,2,0,1,0,1,0,1,1,1,Needles And Pins,37,Needles And Pins,37,9,9,Hypnotic Eye,1,The Live Anthology,51,7,19
tom petty and the heartbreakers,Tom Petty And The Heartbreakers,1977,1996,1977,2022,1977-2022,19,18,19,0,0,2,8,8,12,12,16,Stop Draggin' My Heart Around,3,Breakdown,40,17,217,Damn The Torpedoes,2,Tom Petty + The Heartbreakers,55,42,1064
tom powers,Tom Powers,1977,1977,0,0,1977-1977,1,1,0,0,0,0,0,0,0,0,0,It Ain't Love,92,It Ain't Love,92,5,5,,0,,0,0,0
tom robinson,Tom Robinson,0,0,1978,1979,1978-1979,2,0,2,0,0,0,0,0,0,0,0,,0,,0,0,0,Power In The Darkness,144,Power In The Darkness,144,8,15
tom rush,Tom Rush,0,0,1968,1976,1968-1976,6,0,7,0,0,0,0,0,0,0,0,,0,,0,0,0,The Circle Game,68,The Circle Game,68,14,62
tom scott,Tom Scott,1976,1976,1974,1982,1974-1982,8,1,7,0,0,0,0,0,0,0,1,Uptown & Country,80,Uptown & Country,80,3,3,New York Connection,42,Tom Scott & The L.A. Express,141,16,92
tom scott & the l.a. express,Tom Scott & The L.A. Express,0,0,1975,1975,1975-1975,1,0,1,0,0,0,0,0,1,0,1,,0,,0,0,0,Tom Cat,18,Tom Cat,18,27,27
tom t. hall,Tom T. Hall,1971,1975,1971,1975,1971-1975,5,5,4,0,0,0,0,1,0,2,0,I Love,12,The Year That Clayton Delaney Died,42,12,40,In Search Of A Song,137,In Search Of A Song,137,6,23
tom tom club,Tom Tom Club,1982,1982,1981,1989,1981-1989,4,1,3,0,0,0,0,0,0,1,1,Genius Of Love,31,Genius Of Love,31,17,17,Tom Tom Club,23,Tom Tom Club,23,33,57
tom verlaine,Tom Verlaine,0,0,1981,1981,1981-1981,1,0,1,0,0,0,0,0,0,0,0,,0,,0,0,0,Dreamtime,177,Dreamtime,177,3,3
tom waits,Tom Waits,0,0,1975,2011,1975-2011,17,0,18,0,0,0,1,0,1,0,5,,0,,0,0,0,Bad As Me,6,Nighthawks At The Diner,164,6,119
tomahawk,Tomahawk,0,0,2003,2013,2003-2013,3,0,3,0,0,0,0,0,0,0,0,,0,,0,0,0,Oddfellows,69,Mit Gas,137,2,4
tomita,Tomita,0,0,1974,1980,1974-1980,4,0,4,0,0,0,0,0,0,0,0,,0,,0,0,0,Snowflakes Are Dancing,57,Snowflakes Are Dancing,57,25,53
