title,performer,peak_pos,wks_on_chart,first_charting_year,original_performer,performer_normalized,original_performer_normalized,label,first_year_top_10_songs,first_top_10_hit,precedes_first_top_10_hit,tags,genre_tags_musicbrainz,top_10_1hit_wonder_song,top_10_hitmaker_song,musicbrainz_artist_id
Where Or When,Dion & The Belmonts,3,16,1959,,dion,dion & the belmonts,Laurie Records,1959,True,False,,,False,True,647225
Where Or When,Dion & The Belmonts,3,16,1959,,dion,dion & the belmonts,Laurie Records,1959,True,False,,,False,True,647225
Where Or When,Dion & The Belmonts,3,16,1959,,dion,dion & the belmonts,Laurie Records,1959,True,False,,,False,True,647225
Where Or When,Dion & The Belmonts,3,16,1959,,dion,dion & the belmonts,Laurie Records,1959,True,False,,,False,True,647225
Where Or When,Dion & The Belmonts,3,16,1959,,the belmonts,dion & the belmonts,Laurie Records,1959,True,False,,,False,True,95042
Where Or When,Dion & The Belmonts,3,16,1959,,the belmonts,dion & the belmonts,Laurie Records,1959,True,False,,,False,True,95042
Where Or When,Dion & The Belmonts,3,16,1959,,the belmonts,dion & the belmonts,Laurie Records,1959,True,False,,,False,True,95042
Where Or When,Dion & The Belmonts,3,16,1959,,the belmonts,dion & the belmonts,Laurie Records,1959,True,False,,,False,True,95042
In The Mood,Ernie Fields,4,19,1959,Ernie Fields & Orch.,ernie fields,,"Collectables, London American Recordings, London Records",1959,True,False,,,True,False,214208
In The Mood,Orch.,4,19,1959,Ernie Fields & Orch.,orch.,,,1959,True,False,,,True,False,
It's Time To Cry,Paul Anka,4,15,1959,,paul anka,,,1959,True,False,,,False,True,11617
"Kookie, Kookie (Lend Me Your Comb)",Edward Byrnes,4,13,1959,Edward Byrnes & Connie Stevens,edward byrnes,,,1959,True,False,,,True,False,
"Kookie, Kookie (Lend Me Your Comb)",Connie Stevens,4,13,1959,Edward Byrnes & Connie Stevens,connie stevens,,Warner Bros. Records,1959,True,False,,,False,True,69500
Quiet Village,The Exotic Sounds of Martin Denny,4,16,1959,,the exotic sounds of martin denny,,,1959,True,False,,,True,False,
Sweet Nothin's,Brenda Lee,4,24,1959,,brenda lee,,Decca Records,1959,True,False,,,False,True,39987
Teen Beat,Sandy Nelson,4,16,1959,,sandy nelson,,"Imperial, Original Sound, See for Miles Records",1959,True,False,,,False,True,33960
Waterloo,Stonewall Jackson,4,16,1959,,stonewall jackson,,"Bear Family Records, Black Cat, CBS Special Products",1959,True,False,,,True,False,5198
A Teenager In Love,Dion & The Belmonts,5,15,1959,,dion,dion & the belmonts,"CEMA Special Markets, Collectables, Laurie Records",1959,True,False,,,False,True,647225
A Teenager In Love,Dion & The Belmonts,5,15,1959,,dion,dion & the belmonts,"CEMA Special Markets, Collectables, Laurie Records",1959,True,False,,,False,True,647225
A Teenager In Love,Dion & The Belmonts,5,15,1959,,dion,dion & the belmonts,"CEMA Special Markets, Collectables, Laurie Records",1959,True,False,,,False,True,647225
A Teenager In Love,Dion & The Belmonts,5,15,1959,,dion,dion & the belmonts,"CEMA Special Markets, Collectables, Laurie Records",1959,True,False,,,False,True,647225
A Teenager In Love,Dion & The Belmonts,5,15,1959,,the belmonts,dion & the belmonts,"CEMA Special Markets, Collectables, Laurie Records",1959,True,False,,,False,True,95042
A Teenager In Love,Dion & The Belmonts,5,15,1959,,the belmonts,dion & the belmonts,"CEMA Special Markets, Collectables, Laurie Records",1959,True,False,,,False,True,95042
A Teenager In Love,Dion & The Belmonts,5,15,1959,,the belmonts,dion & the belmonts,"CEMA Special Markets, Collectables, Laurie Records",1959,True,False,,,False,True,95042
A Teenager In Love,Dion & The Belmonts,5,15,1959,,the belmonts,dion & the belmonts,"CEMA Special Markets, Collectables, Laurie Records",1959,True,False,,,False,True,95042
"Go, Jimmy, Go",Jimmy Clanton,5,16,1959,,jimmy clanton,,Ace Records,1959,True,False,,,False,True,16173
Guitar Boogie Shuffle,The Virtues,5,16,1959,,the virtues,,,1959,True,False,,,True,False,41517
Lonely Street,Andy Williams,5,16,1959,,andy williams,,"Cadence Records, Collectables, Varèse Sarabande",1959,True,False,,,False,True,616257
Petite Fleur (Little Flower),Chris Barber's Jazz Band,5,15,1959,,chris barber's jazz band,,,1959,True,False,,,True,False,
Red River Rock,Johnny And The Hurricanes,5,17,1959,,johnny and the hurricanes,,"ATILA, Black Tulip, Cédé International",1959,True,False,,,True,False,33959
Tragedy,Thomas Wayne,5,19,1959,Thomas Wayne With the Delons,thomas wayne,,"Fernwood, Jasmine Records",1959,True,False,,,True,False,69559
Tragedy,the Delons,5,19,1959,Thomas Wayne With the Delons,the delons,,Fernwood,1959,True,False,,,True,False,1792011
I've Had It,The Bell Notes,6,16,1959,,the bell notes,,"Collectables, Time Records",1959,True,False,"rock, pop rock, rock and roll","rock, pop rock, rock and roll",True,False,113364
